data,regiao,reais_por_arroba
2026-07-13,MT,154.59
2026-07-14,MT,153.46
2026-07-15,MT,153.03
2026-07-16,MT,152.45
2026-07-17,MT,153.31
2026-07-20,MT,154.00
2026-07-21,MT,155.30
2026-07-22,MT,154.34
2026-07-23,MT,154.32
2026-07-24,MT,153.20
2026-07-13,BA,148.91
2026-07-14,BA,149.12
2026-07-15,BA,147.99
2026-07-16,BA,147.35
2026-07-17,BA,147.97
2026-07-20,BA,148.30
2026-07-21,BA,147.72
2026-07-22,BA,148.17
2026-07-23,BA,149.24
2026-07-24,BA,148.06
2026-07-13,GO,152.86
2026-07-14,GO,153.61
2026-07-15,GO,153.36
2026-07-16,GO,152.60
2026-07-17,GO,154.08
2026-07-20,GO,153.82
2026-07-21,GO,152.88
2026-07-22,GO,151.95
2026-07-23,GO,153.12
2026-07-24,GO,153.61
